 ID,Regione,Popolazione,Superficie,Densità,N_comuni,N_provincie
 1,Lombardia,9981554,23863.10,418,1506,12
 2,Lazio,5730399,17231.72,333,378,5
 3,Campania,5624260,13670.60,411,550,5
 4,Veneto,4869830,18345.37,265,563,7
 5,Sicilia,4833705,25832.55,187,391,9
 6,Emilia-Romagna,4438937,22444.54,198,330,9
 7,Piemonte,4274945,25386.70,168,1181,8
 8,Puglia,3933777,19540.52,201,257,6
 9,Toscana,3692865,22987.44,161,273,10
10,Calabria,1860601,15221.61,122,404,5
11,Sardegna,1590044,24099.45,66,377,5
12,Liguria,1518495,5416.15,280,234,4
13,Marche,1498236,9401.18,159,225,5
14,Abruzzo,1281012,10831.50,118,305,4
15,Friuli Venezia Giulia,1201510,7932.48,151,215,4
16,Trentino-Alto Adige,1077078,13604.72,79,282,2
17,Umbria,865452,8464.22,102,92,2
18,Basilicata,545130,10073.11,54,131,2
19,Molise,294294,4460.44,66,136,2
20,Valle d'Aosta,124089,3260.85,38,74,1
